,survived,age,fare,class,is_female
75,0.0,39.0,71.2833,1.0,0
76,1.0,38.0,71.2833,1.0,1
77,1.0,51.0,26.55,1.0,0
78,1.0,27.0,30.5,1.0,0
79,1.0,33.0,151.55,1.0,1
80,0.0,31.0,52.0,1.0,0
81,1.0,27.0,52.0,1.0,1
82,1.0,31.0,57.0,1.0,0
83,1.0,17.0,57.0,1.0,1
84,1.0,53.0,81.8583,1.0,0
85,1.0,4.0,81.8583,1.0,0
86,1.0,54.0,81.8583,1.0,1
87,0.0,50.0,106.425,1.0,0
88,1.0,27.0,247.5208,1.0,1
89,1.0,48.0,106.425,1.0,1
90,1.0,48.0,39.6,1.0,1
91,1.0,49.0,56.9292,1.0,0
92,0.0,39.0,29.7,1.0,0
93,1.0,23.0,83.1583,1.0,1
94,1.0,38.0,227.525,1.0,1
95,1.0,54.0,78.2667,1.0,1
96,0.0,36.0,31.6792,1.0,1
97,1.0,36.0,26.3875,1.0,0
98,0.0,30.0,27.75,1.0,0
99,1.0,24.0,263.0,1.0,1
100,1.0,28.0,263.0,1.0,1
101,1.0,23.0,263.0,1.0,1
102,0.0,19.0,263.0,1.0,0
103,0.0,64.0,263.0,1.0,0
104,1.0,60.0,263.0,1.0,1
105,1.0,30.0,56.9292,1.0,1
106,1.0,50.0,133.65,1.0,0
107,1.0,43.0,27.7208,1.0,0
108,1.0,22.0,49.5,1.0,1
109,1.0,60.0,79.2,1.0,0
110,1.0,48.0,79.2,1.0,1
111,0.0,37.0,53.1,1.0,0
112,1.0,35.0,53.1,1.0,1
113,0.0,47.0,38.5,1.0,0
114,1.0,35.0,211.5,1.0,1
115,1.0,22.0,59.4,1.0,1
116,1.0,45.0,59.4,1.0,1
117,0.0,24.0,79.2,1.0,0
118,1.0,49.0,89.1042,1.0,0
119,0.0,71.0,34.6542,1.0,0
120,1.0,53.0,28.5,1.0,0
121,1.0,19.0,30.0,1.0,1
122,0.0,38.0,153.4625,1.0,0
123,1.0,58.0,153.4625,1.0,1
124,1.0,23.0,63.3583,1.0,0
125,1.0,45.0,63.3583,1.0,1
126,0.0,46.0,79.2,1.0,0
127,1.0,25.0,55.4417,1.0,0
128,1.0,25.0,55.4417,1.0,1
129,1.0,48.0,76.7292,1.0,0
130,1.0,49.0,76.7292,1.0,1
131,0.0,45.0,83.475,1.0,0
132,1.0,35.0,83.475,1.0,1
133,0.0,40.0,0.0,1.0,0
134,1.0,27.0,76.7292,1.0,0
135,1.0,24.0,83.1583,1.0,1
136,0.0,55.0,93.5,1.0,0
137,1.0,52.0,93.5,1.0,1
138,0.0,42.0,42.5,1.0,0
139,0.0,55.0,50.0,1.0,0
140,1.0,16.0,57.9792,1.0,1
141,1.0,44.0,57.9792,1.0,1
142,1.0,51.0,77.9583,1.0,1
143,0.0,42.0,52.0,1.0,0
144,1.0,35.0,52.0,1.0,1
145,1.0,35.0,26.55,1.0,0
146,1.0,38.0,90.0,1.0,0
147,1.0,35.0,90.0,1.0,1
148,1.0,38.0,80.0,1.0,1
149,0.0,50.0,28.7125,1.0,1
150,1.0,49.0,0.0,1.0,0
151,0.0,46.0,26.0,1.0,0
152,0.0,50.0,26.0,1.0,0
153,0.0,32.5,211.5,1.0,0
154,0.0,58.0,29.7,1.0,0
155,0.0,41.0,51.8625,1.0,0
156,1.0,42.0,52.5542,1.0,0
157,1.0,45.0,52.5542,1.0,1
158,1.0,39.0,211.3375,1.0,1
159,1.0,49.0,25.9292,1.0,1
160,1.0,30.0,106.425,1.0,1
161,1.0,35.0,512.3292,1.0,0
162,0.0,42.0,26.55,1.0,0
163,1.0,55.0,27.7208,1.0,1
164,1.0,16.0,39.4,1.0,1
165,1.0,51.0,39.4,1.0,1
166,0.0,29.0,30.0,1.0,0
167,1.0,21.0,77.9583,1.0,1
168,0.0,30.0,45.5,1.0,0
169,1.0,58.0,146.5208,1.0,1
170,1.0,15.0,211.3375,1.0,1
171,0.0,30.0,26.0,1.0,0
172,1.0,16.0,86.5,1.0,1
173,0.0,19.0,53.1,1.0,0
174,1.0,18.0,53.1,1.0,1
175,1.0,24.0,49.5042,1.0,1
176,0.0,46.0,75.2417,1.0,0
177,0.0,54.0,51.8625,1.0,0
178,1.0,36.0,26.2875,1.0,0
179,0.0,28.0,82.1708,1.0,0
180,0.0,65.0,26.55,1.0,0
181,0.0,44.0,90.0,1.0,0
182,1.0,33.0,90.0,1.0,1
183,1.0,37.0,90.0,1.0,1
184,1.0,30.0,57.75,1.0,0
185,0.0,55.0,30.5,1.0,0
186,0.0,47.0,42.4,1.0,0
187,0.0,37.0,29.7,1.0,0
188,1.0,31.0,113.275,1.0,1
189,1.0,23.0,113.275,1.0,1
190,0.0,58.0,113.275,1.0,0
191,1.0,19.0,26.2833,1.0,1
192,0.0,64.0,26.0,1.0,0
193,1.0,39.0,108.9,1.0,1
194,1.0,22.0,61.9792,1.0,1
195,0.0,65.0,61.9792,1.0,0
196,0.0,28.5,27.7208,1.0,0
197,0.0,45.5,28.5,1.0,0
198,0.0,23.0,93.5,1.0,0
199,0.0,29.0,66.6,1.0,0
200,1.0,22.0,66.6,1.0,1
201,0.0,18.0,108.9,1.0,0
202,1.0,17.0,108.9,1.0,1
203,1.0,30.0,93.5,1.0,1
204,1.0,52.0,30.5,1.0,0
205,0.0,47.0,52.0,1.0,0
206,1.0,56.0,83.1583,1.0,1
207,0.0,38.0,0.0,1.0,0
208,0.0,22.0,135.6333,1.0,0
209,1.0,43.0,211.3375,1.0,1
210,0.0,31.0,50.4958,1.0,0
211,1.0,45.0,26.55,1.0,0
212,1.0,33.0,27.7208,1.0,1
213,0.0,46.0,79.2,1.0,0
214,0.0,36.0,40.125,1.0,0
215,1.0,33.0,86.5,1.0,1
216,0.0,55.0,59.4,1.0,0
217,1.0,54.0,59.4,1.0,1
218,0.0,33.0,26.55,1.0,0
219,1.0,13.0,262.375,1.0,0
220,1.0,18.0,262.375,1.0,1
221,1.0,21.0,262.375,1.0,1
222,0.0,61.0,262.375,1.0,0
223,1.0,48.0,262.375,1.0,1
224,1.0,24.0,69.3,1.0,1
225,1.0,35.0,57.75,1.0,1
226,1.0,30.0,31.0,1.0,1
227,1.0,34.0,26.55,1.0,0
228,1.0,40.0,153.4625,1.0,1
229,1.0,35.0,26.2875,1.0,0
230,0.0,50.0,55.9,1.0,0
231,1.0,39.0,55.9,1.0,1
232,1.0,56.0,35.5,1.0,0
233,1.0,28.0,35.5,1.0,0
234,0.0,56.0,26.55,1.0,0
235,0.0,56.0,30.6958,1.0,0
236,0.0,24.0,60.0,1.0,0
237,1.0,18.0,60.0,1.0,1
238,1.0,24.0,82.2667,1.0,0
239,1.0,23.0,82.2667,1.0,1
240,1.0,6.0,134.5,1.0,0
241,1.0,45.0,134.5,1.0,0
242,1.0,40.0,134.5,1.0,1
243,0.0,57.0,146.5208,1.0,0
244,1.0,32.0,30.5,1.0,0
245,0.0,62.0,26.55,1.0,0
246,1.0,54.0,55.4417,1.0,0
247,1.0,43.0,55.4417,1.0,1
248,1.0,52.0,78.2667,1.0,1
249,1.0,62.0,80.0,1.0,1
250,0.0,67.0,221.7792,1.0,0
251,0.0,63.0,221.7792,1.0,1
252,0.0,61.0,32.3208,1.0,0
253,1.0,48.0,25.9292,1.0,1
254,1.0,18.0,79.65,1.0,1
255,0.0,52.0,79.65,1.0,0
256,1.0,39.0,79.65,1.0,1
257,1.0,48.0,52.0,1.0,0
258,0.0,49.0,110.8833,1.0,0
259,1.0,17.0,110.8833,1.0,0
260,1.0,39.0,110.8833,1.0,1
261,1.0,31.0,28.5375,1.0,0
262,0.0,40.0,27.7208,1.0,0
263,0.0,61.0,33.5,1.0,0
264,0.0,47.0,34.0208,1.0,0
265,1.0,35.0,512.3292,1.0,1
266,0.0,64.0,75.25,1.0,0
267,1.0,60.0,75.25,1.0,1
268,0.0,60.0,26.55,1.0,0
269,0.0,54.0,77.2875,1.0,0
270,0.0,21.0,77.2875,1.0,0
271,1.0,55.0,135.6333,1.0,1
272,1.0,31.0,164.8667,1.0,1
273,0.0,57.0,164.8667,1.0,0
274,1.0,45.0,164.8667,1.0,1
275,0.0,50.0,211.5,1.0,0
276,0.0,27.0,211.5,1.0,0
277,1.0,50.0,211.5,1.0,1
278,1.0,21.0,26.55,1.0,1
279,0.0,51.0,61.3792,1.0,0
280,1.0,21.0,61.3792,1.0,0
281,1.0,31.0,134.5,1.0,1
282,0.0,62.0,26.55,1.0,0
283,1.0,36.0,135.6333,1.0,1
284,0.0,30.0,24.0,2.0,0
285,1.0,28.0,24.0,2.0,1
286,0.0,30.0,13.0,2.0,0
287,0.0,18.0,11.5,2.0,0
288,0.0,25.0,10.5,2.0,0
289,0.0,34.0,26.0,2.0,0
290,1.0,36.0,26.0,2.0,1
291,0.0,57.0,13.0,2.0,0
292,0.0,18.0,11.5,2.0,0
293,0.0,23.0,10.5,2.0,0
294,1.0,36.0,13.0,2.0,1
295,0.0,28.0,10.5,2.0,0
296,0.0,51.0,12.525,2.0,0
297,1.0,32.0,26.0,2.0,0
298,1.0,19.0,26.0,2.0,1
299,0.0,28.0,26.0,2.0,0
300,1.0,1.0,39.0,2.0,0
301,1.0,4.0,39.0,2.0,1
302,1.0,12.0,39.0,2.0,1
303,1.0,36.0,39.0,2.0,1
304,1.0,34.0,13.0,2.0,0
305,1.0,19.0,13.0,2.0,1
306,0.0,23.0,13.0,2.0,0
307,0.0,26.0,13.0,2.0,0
308,0.0,42.0,13.0,2.0,0
309,0.0,27.0,13.0,2.0,0
310,1.0,24.0,13.0,2.0,1
311,1.0,15.0,39.0,2.0,1
312,0.0,60.0,39.0,2.0,0
313,1.0,40.0,39.0,2.0,1
314,1.0,20.0,26.0,2.0,1
315,0.0,25.0,26.0,2.0,0
316,1.0,36.0,13.0,2.0,1
317,0.0,25.0,13.0,2.0,0
318,0.0,42.0,13.0,2.0,0
319,1.0,42.0,13.0,2.0,1
320,1.0,0.8333,29.0,2.0,0
321,1.0,26.0,29.0,2.0,0
322,1.0,22.0,29.0,2.0,1
323,1.0,35.0,21.0,2.0,1
324,0.0,19.0,13.0,2.0,0
325,0.0,44.0,26.0,2.0,1
326,0.0,54.0,26.0,2.0,0
327,0.0,52.0,13.5,2.0,0
328,0.0,37.0,26.0,2.0,0
329,0.0,29.0,26.0,2.0,1
330,1.0,25.0,30.0,2.0,1
331,1.0,45.0,30.0,2.0,1
332,0.0,29.0,26.0,2.0,0
333,1.0,28.0,26.0,2.0,1
334,0.0,29.0,10.5,2.0,0
335,0.0,28.0,13.0,2.0,0
336,1.0,24.0,10.5,2.0,0
337,1.0,8.0,26.25,2.0,1
338,0.0,31.0,26.25,2.0,0
339,1.0,31.0,26.25,2.0,1
340,1.0,22.0,10.5,2.0,1
341,0.0,30.0,13.0,2.0,1
342,0.0,21.0,11.5,2.0,0
343,1.0,8.0,36.75,2.0,0
344,0.0,18.0,73.5,2.0,0
345,1.0,48.0,36.75,2.0,1
346,1.0,28.0,13.0,2.0,1
347,0.0,32.0,13.0,2.0,0
348,0.0,17.0,73.5,2.0,0
349,0.0,29.0,27.7208,2.0,0
350,1.0,24.0,27.7208,2.0,1
351,0.0,25.0,31.5,2.0,0
352,0.0,18.0,73.5,2.0,0
353,1.0,18.0,23.0,2.0,1
354,1.0,34.0,23.0,2.0,1
355,0.0,54.0,26.0,2.0,0
356,1.0,8.0,32.5,2.0,0
357,0.0,42.0,32.5,2.0,0
358,1.0,34.0,32.5,2.0,1
359,1.0,27.0,13.8583,2.0,1
360,1.0,30.0,13.8583,2.0,1
361,0.0,23.0,13.0,2.0,0
362,0.0,21.0,13.0,2.0,0
363,0.0,18.0,13.0,2.0,0
364,0.0,40.0,26.0,2.0,0
365,1.0,29.0,26.0,2.0,1
366,0.0,18.0,10.5,2.0,0
367,0.0,36.0,13.0,2.0,0
368,0.0,38.0,13.0,2.0,1
369,0.0,35.0,26.0,2.0,0
370,0.0,38.0,21.0,2.0,0
371,0.0,34.0,21.0,2.0,0
372,1.0,34.0,13.0,2.0,1
373,0.0,16.0,26.0,2.0,0
374,0.0,26.0,10.5,2.0,0
375,0.0,47.0,10.5,2.0,0
376,0.0,21.0,11.5,2.0,0
377,0.0,21.0,11.5,2.0,0
378,0.0,24.0,13.5,2.0,0
379,0.0,24.0,13.0,2.0,0
380,0.0,34.0,13.0,2.0,0
381,0.0,30.0,13.0,2.0,0
382,0.0,52.0,13.0,2.0,0
383,0.0,30.0,13.0,2.0,0
384,1.0,0.6667,14.5,2.0,0
385,1.0,24.0,14.5,2.0,1
386,0.0,44.0,13.0,2.0,0
387,1.0,6.0,33.0,2.0,1
388,0.0,28.0,33.0,2.0,0
389,1.0,62.0,10.5,2.0,0
390,0.0,30.0,10.5,2.0,0
391,1.0,7.0,26.25,2.0,1
392,0.0,43.0,26.25,2.0,0
393,1.0,45.0,26.25,2.0,1
394,1.0,24.0,65.0,2.0,1
395,1.0,24.0,65.0,2.0,1
396,0.0,49.0,65.0,2.0,0
397,1.0,48.0,65.0,2.0,1
398,1.0,55.0,16.0,2.0,1
399,0.0,24.0,73.5,2.0,0
400,0.0,32.0,73.5,2.0,0
401,0.0,21.0,73.5,2.0,0
402,0.0,18.0,13.0,2.0,1
403,1.0,20.0,23.0,2.0,1
404,0.0,23.0,11.5,2.0,0
405,0.0,36.0,13.0,2.0,0
406,1.0,54.0,23.0,2.0,1
407,0.0,50.0,13.0,2.0,0
408,0.0,44.0,26.0,2.0,0
409,1.0,29.0,26.0,2.0,1
410,0.0,21.0,73.5,2.0,0
411,1.0,42.0,13.0,2.0,0
412,0.0,63.0,26.0,2.0,0
413,0.0,60.0,26.0,2.0,1
414,0.0,33.0,12.275,2.0,0
415,1.0,17.0,10.5,2.0,1
416,0.0,42.0,27.0,2.0,0
417,1.0,24.0,27.0,2.0,1
418,0.0,47.0,15.0,2.0,0
419,0.0,24.0,31.5,2.0,0
420,0.0,22.0,31.5,2.0,0
421,0.0,32.0,10.5,2.0,0
422,1.0,23.0,13.7917,2.0,1
423,0.0,34.0,26.0,2.0,0
424,1.0,24.0,26.0,2.0,1
425,0.0,22.0,21.0,2.0,1
426,0.0,35.0,12.35,2.0,0
427,1.0,45.0,13.5,2.0,1
428,0.0,57.0,12.35,2.0,0
429,0.0,31.0,10.5,2.0,0
430,0.0,26.0,26.0,2.0,1
431,0.0,30.0,26.0,2.0,0
432,1.0,1.0,41.5792,2.0,1
433,1.0,3.0,41.5792,2.0,1
434,0.0,25.0,41.5792,2.0,0
435,1.0,22.0,41.5792,2.0,1
436,1.0,17.0,12.0,2.0,1
437,1.0,34.0,10.5,2.0,1
438,0.0,36.0,12.875,2.0,0
439,0.0,24.0,10.5,2.0,0
440,0.0,61.0,12.35,2.0,0
441,0.0,50.0,26.0,2.0,0
442,1.0,42.0,26.0,2.0,1
443,0.0,57.0,10.5,2.0,1
444,1.0,1.0,37.0042,2.0,0
445,0.0,31.0,37.0042,2.0,0
446,1.0,24.0,37.0042,2.0,1
447,0.0,30.0,13.0,2.0,0
448,0.0,40.0,16.0,2.0,0
449,0.0,32.0,13.5,2.0,0
450,0.0,30.0,13.0,2.0,0
451,0.0,46.0,26.0,2.0,0
452,1.0,13.0,19.5,2.0,1
453,1.0,41.0,19.5,2.0,1
454,1.0,19.0,10.5,2.0,0
455,0.0,39.0,13.0,2.0,0
456,0.0,48.0,13.0,2.0,0
457,0.0,70.0,10.5,2.0,0
458,0.0,27.0,13.0,2.0,0
459,0.0,54.0,14.0,2.0,0
460,0.0,39.0,26.0,2.0,0
461,0.0,16.0,10.5,2.0,0
462,0.0,62.0,9.6875,2.0,0
463,0.0,32.5,30.0708,2.0,0
464,1.0,14.0,30.0708,2.0,1
465,1.0,2.0,26.0,2.0,0
466,1.0,3.0,26.0,2.0,0
467,0.0,36.5,26.0,2.0,0
468,0.0,26.0,13.0,2.0,0
469,0.0,19.0,36.75,2.0,0
470,0.0,28.0,13.5,2.0,0
471,1.0,20.0,13.8625,2.0,0
472,1.0,29.0,10.5,2.0,1
473,0.0,39.0,13.0,2.0,0
474,1.0,22.0,10.5,2.0,0
475,0.0,23.0,10.5,2.0,0
476,1.0,29.0,13.8583,2.0,0
477,0.0,28.0,10.5,2.0,0
478,1.0,50.0,26.0,2.0,1
479,0.0,19.0,10.5,2.0,0
480,0.0,41.0,13.0,2.0,0
481,1.0,21.0,21.0,2.0,1
482,1.0,19.0,26.0,2.0,1
483,0.0,43.0,21.0,2.0,0
484,1.0,32.0,13.0,2.0,1
485,0.0,34.0,13.0,2.0,0
486,1.0,30.0,12.7375,2.0,0
487,0.0,27.0,15.0333,2.0,0
488,1.0,2.0,26.0,2.0,1
489,1.0,8.0,26.0,2.0,1
490,1.0,33.0,26.0,2.0,1
491,0.0,36.0,10.5,2.0,0
492,0.0,34.0,21.0,2.0,0
493,1.0,30.0,21.0,2.0,1
494,1.0,28.0,13.0,2.0,1
495,0.0,23.0,15.0458,2.0,0
496,1.0,0.8333,18.75,2.0,0
497,1.0,3.0,18.75,2.0,0
498,1.0,24.0,18.75,2.0,1
499,1.0,50.0,10.5,2.0,1
500,0.0,19.0,10.5,2.0,0
501,1.0,21.0,10.5,2.0,1
502,0.0,26.0,13.0,2.0,0
503,0.0,25.0,13.0,2.0,0
504,0.0,27.0,26.0,2.0,0
505,1.0,25.0,26.0,2.0,1
506,1.0,18.0,13.0,2.0,1
507,1.0,20.0,36.75,2.0,1
508,1.0,30.0,13.0,2.0,1
509,0.0,59.0,13.5,2.0,0
510,1.0,30.0,12.35,2.0,1
511,0.0,35.0,10.5,2.0,0
512,1.0,40.0,13.0,2.0,1
513,0.0,25.0,13.0,2.0,0
514,0.0,41.0,15.0458,2.0,0
515,0.0,25.0,10.5,2.0,0
516,0.0,18.5,13.0,2.0,0
517,0.0,14.0,65.0,2.0,0
518,1.0,50.0,10.5,2.0,1
519,0.0,23.0,13.0,2.0,0
520,1.0,28.0,12.65,2.0,1
521,1.0,27.0,10.5,2.0,1
522,0.0,29.0,21.0,2.0,0
523,0.0,27.0,21.0,2.0,1
524,0.0,40.0,13.0,2.0,0
525,1.0,31.0,21.0,2.0,1
526,0.0,30.0,21.0,2.0,0
527,0.0,23.0,10.5,2.0,0
528,1.0,31.0,21.0,2.0,1
529,1.0,12.0,15.75,2.0,1
530,1.0,40.0,15.75,2.0,1
531,1.0,32.5,13.0,2.0,1
532,0.0,27.0,26.0,2.0,0
533,1.0,29.0,26.0,2.0,1
534,1.0,2.0,23.0,2.0,0
535,1.0,4.0,23.0,2.0,1
536,1.0,29.0,23.0,2.0,1
537,1.0,0.9167,27.75,2.0,1
538,1.0,5.0,27.75,2.0,1
539,0.0,36.0,27.75,2.0,0
540,1.0,33.0,27.75,2.0,1
541,0.0,66.0,10.5,2.0,0
542,1.0,31.0,13.0,2.0,0
543,1.0,26.0,13.5,2.0,1
544,0.0,24.0,13.0,2.0,1
545,0.0,42.0,7.55,3.0,0
546,0.0,13.0,20.25,3.0,0
547,0.0,16.0,20.25,3.0,0
548,1.0,35.0,20.25,3.0,1
549,1.0,16.0,7.65,3.0,1
550,1.0,25.0,7.65,3.0,0
551,1.0,20.0,7.925,3.0,0
552,1.0,18.0,7.2292,3.0,1
553,0.0,30.0,7.25,3.0,0
554,0.0,26.0,8.05,3.0,0
555,0.0,40.0,9.475,3.0,1
556,1.0,0.8333,9.35,3.0,0
557,1.0,18.0,9.35,3.0,1
558,1.0,26.0,18.7875,3.0,0
559,0.0,26.0,7.8875,3.0,0
560,0.0,20.0,7.925,3.0,0
561,0.0,24.0,7.05,3.0,0
562,0.0,25.0,7.05,3.0,0
563,0.0,35.0,8.05,3.0,0
564,0.0,18.0,8.3,3.0,0
565,0.0,32.0,22.525,3.0,0
566,1.0,19.0,7.8542,3.0,1
567,0.0,4.0,31.275,3.0,0
568,0.0,6.0,31.275,3.0,1
569,0.0,2.0,31.275,3.0,1
570,1.0,17.0,7.925,3.0,1
571,0.0,38.0,7.775,3.0,1
572,0.0,9.0,31.275,3.0,1
573,0.0,11.0,31.275,3.0,1
574,0.0,39.0,31.275,3.0,0
575,1.0,27.0,7.7958,3.0,0
576,0.0,26.0,7.775,3.0,0
577,0.0,39.0,31.275,3.0,1
578,0.0,20.0,7.8542,3.0,0
579,0.0,26.0,7.8958,3.0,0
580,0.0,25.0,17.8,3.0,0
581,0.0,18.0,17.8,3.0,1
582,0.0,24.0,7.775,3.0,0
583,0.0,35.0,7.05,3.0,0
584,0.0,5.0,31.3875,3.0,0
585,0.0,9.0,31.3875,3.0,0
586,1.0,3.0,31.3875,3.0,0
587,0.0,13.0,31.3875,3.0,0
588,1.0,5.0,31.3875,3.0,1
589,0.0,40.0,31.3875,3.0,0
590,1.0,23.0,7.7958,3.0,0
591,1.0,38.0,31.3875,3.0,1
592,1.0,45.0,7.225,3.0,1
593,0.0,21.0,7.225,3.0,0
594,0.0,23.0,7.05,3.0,0
595,0.0,17.0,14.4583,3.0,1
596,0.0,30.0,7.225,3.0,0
597,0.0,23.0,7.8542,3.0,0
598,1.0,13.0,7.2292,3.0,1
599,0.0,20.0,7.225,3.0,0
600,0.0,32.0,15.85,3.0,0
601,1.0,33.0,15.85,3.0,1
602,1.0,0.75,19.2583,3.0,1
603,1.0,0.75,19.2583,3.0,1
604,1.0,5.0,19.2583,3.0,1
605,1.0,24.0,19.2583,3.0,1
606,1.0,18.0,8.05,3.0,1
607,0.0,40.0,7.225,3.0,0
608,0.0,26.0,7.8958,3.0,0
609,1.0,20.0,7.2292,3.0,0
610,0.0,18.0,14.4542,3.0,1
611,0.0,45.0,14.4542,3.0,1
612,0.0,27.0,7.8792,3.0,1
613,0.0,22.0,8.05,3.0,0
614,0.0,19.0,8.05,3.0,0
615,0.0,26.0,7.775,3.0,0
616,0.0,22.0,9.35,3.0,0
617,0.0,20.0,4.0125,3.0,0
618,1.0,32.0,56.4958,3.0,0
619,0.0,21.0,7.775,3.0,0
620,0.0,18.0,7.75,3.0,0
621,0.0,26.0,7.8958,3.0,0
622,0.0,6.0,15.2458,3.0,0
623,0.0,9.0,15.2458,3.0,1
624,0.0,40.0,15.5,3.0,0
625,0.0,32.0,15.5,3.0,1
626,0.0,21.0,16.1,3.0,0
627,1.0,22.0,7.725,3.0,1
628,0.0,20.0,7.8542,3.0,1
629,0.0,29.0,7.0458,3.0,0
630,0.0,22.0,7.25,3.0,0
631,0.0,22.0,7.7958,3.0,0
632,0.0,35.0,8.05,3.0,0
633,0.0,18.5,7.2833,3.0,1
634,1.0,21.0,7.8208,3.0,0
635,0.0,19.0,6.75,3.0,0
636,0.0,18.0,7.8792,3.0,1
637,0.0,21.0,8.6625,3.0,1
638,0.0,30.0,8.6625,3.0,1
639,0.0,18.0,8.6625,3.0,0
640,0.0,38.0,8.6625,3.0,0
641,0.0,17.0,8.6625,3.0,0
642,0.0,17.0,8.6625,3.0,0
643,0.0,21.0,7.75,3.0,1
644,0.0,21.0,7.75,3.0,0
645,0.0,21.0,8.05,3.0,0
646,0.0,28.0,7.7958,3.0,0
647,0.0,24.0,7.8542,3.0,0
648,1.0,16.0,7.75,3.0,1
649,0.0,37.0,7.75,3.0,1
650,0.0,28.0,7.25,3.0,0
651,0.0,24.0,8.05,3.0,0
652,0.0,21.0,7.7333,3.0,0
653,1.0,32.0,56.4958,3.0,0
654,0.0,29.0,8.05,3.0,0
655,0.0,26.0,14.4542,3.0,0
656,0.0,18.0,14.4542,3.0,0
657,0.0,20.0,7.05,3.0,0
658,1.0,18.0,8.05,3.0,0
659,0.0,24.0,7.25,3.0,0
660,0.0,36.0,7.4958,3.0,0
661,0.0,24.0,7.4958,3.0,0
662,0.0,31.0,7.7333,3.0,0
663,0.0,31.0,7.75,3.0,0
664,1.0,22.0,7.75,3.0,1
665,0.0,30.0,7.6292,3.0,1
666,0.0,70.5,7.75,3.0,0
667,0.0,43.0,8.05,3.0,0
668,0.0,35.0,7.8958,3.0,0
669,0.0,27.0,7.8958,3.0,0
670,0.0,19.0,7.8958,3.0,0
671,0.0,30.0,8.05,3.0,0
672,1.0,9.0,15.9,3.0,0
673,1.0,3.0,15.9,3.0,0
674,1.0,36.0,15.9,3.0,1
675,0.0,59.0,7.25,3.0,0
676,0.0,19.0,8.1583,3.0,0
677,1.0,17.0,16.1,3.0,1
678,0.0,44.0,16.1,3.0,0
679,0.0,17.0,8.6625,3.0,0
680,0.0,22.5,7.225,3.0,0
681,1.0,45.0,8.05,3.0,0
682,0.0,22.0,10.5167,3.0,1
683,0.0,19.0,10.1708,3.0,0
684,1.0,30.0,6.95,3.0,1
685,1.0,29.0,7.75,3.0,0
686,0.0,0.3333,14.4,3.0,0
687,0.0,34.0,14.4,3.0,0
